Vehicle Location,ev_count
POINT (-122.49165 46.60409),9
POINT (-122.49212 45.60365),1018
POINT (-122.49724 48.38874),129
POINT (-122.49756 48.7999),1253
POINT (-122.4977 47.79802),354
POINT (-122.50156 47.13872),1
POINT (-122.50992 47.16826),1
POINT (-122.51134 47.29238),815
POINT (-122.51495 47.16196),414
POINT (-122.51843 47.7487),62
POINT (-122.52082 47.26887),562
POINT (-122.521 47.62728),2222
POINT (-122.52664 48.00956),268
POINT (-122.52968 47.12717),221
POINT (-122.53166 47.23451),782
POINT (-122.5331 45.78092),843
POINT (-122.5354 47.24991),167
POINT (-122.53658 45.98974),24
POINT (-122.53787 47.20761),436
POINT (-122.54332 47.00328),190
POINT (-122.54578 45.73473),402
POINT (-122.54729 47.42602),142
POINT (-122.54758 47.91795),89
POINT (-122.54764 47.17669),554
POINT (-122.55149 45.69345),1600
POINT (-122.55242 47.73162),93
POINT (-122.56817 48.08827),112
POINT (-122.57622 47.13564),3
POINT (-122.57722 45.64251),774
POINT (-122.58009 47.328),1315
POINT (-122.58964 47.34235),1002
POINT (-122.59219 45.62158),538
POINT (-122.5945 48.84787),523
POINT (-122.59802 47.17303),214
POINT (-122.60209 46.52793),12
POINT (-122.60735 46.94239),436
POINT (-122.60761 47.08798),162
POINT (-122.60915 47.62631),526
POINT (-122.61136 47.5752),352
POINT (-122.61214 48.51748),919
POINT (-122.62316 47.70251),16
POINT (-122.62446 45.64087),1
POINT (-122.62731 45.71668),789
POINT (-122.62749 47.565),137
POINT (-122.62934 45.63201),921
POINT (-122.62954 47.09583),265
POINT (-122.6306 46.53186),5
POINT (-122.63847 47.54103),722
POINT (-122.64219 48.91865),36
POINT (-122.64443 45.67871),666
POINT (-122.64681 47.73689),1041
POINT (-122.64682 48.29077),686
POINT (-122.64695 45.65675),362
POINT (-122.65058 47.55915),5
POINT (-122.65107 47.27375),279
POINT (-122.65223 47.57192),920
POINT (-122.6658 47.38336),318
POINT (-122.67154 48.33858),1
POINT (-122.67156 45.63248),468
POINT (-122.67248 45.86156),256
POINT (-122.67876 47.17794),58
POINT (-122.68326 48.72052),58
POINT (-122.68471 47.50524),886
POINT (-122.68475 47.92989),218
POINT (-122.68558 48.21857),315
POINT (-122.68993 46.88897),82
POINT (-122.69107 48.05105),60
POINT (-122.69275 47.65171),487
POINT (-122.69891 46.57613),40
POINT (-122.70303 45.70954),1122
POINT (-122.70835 47.68926),38
POINT (-122.73237 46.32447),7
POINT (-122.74017 45.9094),259
POINT (-122.74595 45.81539),1276
POINT (-122.74676 48.99342),1
POINT (-122.7478 46.53239),9
POINT (-122.74888 48.99404),559
POINT (-122.75103 47.08149),1026
POINT (-122.75493 47.25035),133
POINT (-122.75878 48.03591),65
POINT (-122.75905 47.21454),31
POINT (-122.76355 47.34347),32
POINT (-122.77263 48.1212),789
POINT (-122.77328 48.01182),39
POINT (-122.80738 47.03521),1
POINT (-122.8112 46.29694),36
POINT (-122.81585 47.64509),138
POINT (-122.81754 46.98876),877
POINT (-122.82324 47.04437),825
POINT (-122.82364 47.32767),95
POINT (-122.82802 47.44998),211
POINT (-122.82984 47.38173),110
POINT (-122.8357 48.62356),55
POINT (-122.84226 46.00813),166
POINT (-122.84784 46.44067),50
POINT (-122.85135 46.85752),123
POINT (-122.86892 46.79818),3
POINT (-122.87741 47.05997),705
POINT (-122.8775 47.82642),63
POINT (-122.89165 47.03954),2611
POINT (-122.89166 47.03956),65
POINT (-122.89588 47.04117),1
POINT (-122.89646 47.69838),35
POINT (-122.89867 46.14424),254
POINT (-122.90724 46.27509),116
POINT (-122.90812 46.57623),7
POINT (-122.91109 48.69389),361
POINT (-122.9131 47.01359),812
POINT (-122.91395 48.52342),181
POINT (-122.92333 47.03779),1198
POINT (-122.92991 48.58348),16
POINT (-122.93881 46.49114),102
POINT (-122.94093 48.5982),4
POINT (-122.95015 46.40201),10
POINT (-122.95058 46.14681),456
POINT (-122.95266 46.72895),402
POINT (-122.96462 46.6621),310
POINT (-123.00026 48.61989),3
POINT (-123.01648 48.53448),539
POINT (-123.02628 46.74162),1
POINT (-123.03598 48.68843),4
POINT (-123.04061 47.37733),43
POINT (-123.04373 46.37331),3
POINT (-123.05688 48.98867),78
POINT (-123.08743 46.82175),160
POINT (-123.0921 47.47203),16
POINT (-123.09944 47.35689),69
POINT (-123.10367 48.07965),794
POINT (-123.10565 47.21248),574
POINT (-123.13056 46.56094),8
POINT (-123.14135 47.40639),65
POINT (-123.23286 46.84077),35
POINT (-123.26405 47.04946),58
POINT (-123.29831 46.57001),3
